1360
771,886,1207;458
771,886,1207;922
904,458,922;771
904,458,922;886
904,458,922;1207
771,28,886;904
771,28,886;922
771,28,886;86
904,922,86;771
904,922,86;28
904,922,86;886
81,508;242
81,508;731
81,508;1343
161,325,1150;827
161,325,1150;291
161,325,1150;29
1346,1155,5,312,699;722
1346,1155,5,312,699;179
1346,1155,5,312,699;341
1346,1155,5,312,699;1119
1346,1155,5,312,699;415
1298,899;565
565;1298
565;899
910;948
1120,675,520,911,310;128
1120,675,520,911,310;1188
1120,675,520,911,310;654
1120,675,520,911,310;1114
1120,675,520,911,310;477
169,298;915
169,298;940
915,940;169
915,940;298
1023;1048
1023;477
1112,50;951
1112,50;349
1112,50;687
1315;1276
1307;1082
1082;1307
1285;1331
1331;1285
691,1150,863;1008
691,1150,863;337
691,1150,863;731
1008,337,731;691
1008,337,731;1150
1008,337,731;863
344,883;1256
344,883;1233
344,883;1061
1008,731,864;691
1008,731,864;1317
291,1317;864
291,1317;1150
864,1150;291
864,1150;1317
1062,895;1197
1062,895;526
1197,526;1062
1197,526;895
428;461
461;428
944,1206;1259
944,1206;972
1259,972;944
1259,972;1206
961,771,359;842
961,771,359;731
961,771,359;1317
961,771,359;446
771,420;446
771,420;1231
446,1231;771
446,1231;420
477;938
477;675
938,675;477
1298,483;749
1298,483;565
749,565;1298
749,565;483
161,468;185
161,468;138
1120,675,654,911,310;128
1120,675,654,911,310;1114
1120,675,654,911,310;1188
1120,675,654,911,310;477
1112,1177;1080
1112,1177;1032
1112,1177;687
1112,166;795
1112,166;908
1112,166;687
161,1228,598;779
161,1228,598;22
899,1243;372
899,1243;565
1319;1088
1088;1319
1282,1150;465
1282,1150;842
344,1120;1256
344,1120;1061
344,1120;128
1164;839
839;1164
731,1316,710;672
731,1316,710;922
731,174;186
731,174;138
233,899,675;608
233,899,675;245
233,899,675;565
608,245,565;233
608,245,565;899
608,245,565;675
314,1150;297
314,1150;731
297,731;314
297,731;1150
162,423;1122
162,423;231
1122,231;162
1122,231;423
1218;1062
1062;1218
876,463;721
876,463;38
721,38;876
721,38;463
1094;1129
1129;1094
161,1150,55;217
161,1150,55;842
161,1150,55;83
161,1150,55;731
161,731,1325;138
161,731,1325;835
161,731,1325;1150
819;353
353;819
350;393
56,713,1346,1119;1089
56,713,1346,1119;557
56,713,1346,1119;5
312,1346,179,1119;1035
312,1346,179,1119;699
312,1346,179,1119;5
1358,771,972,1150;1217
1358,771,972,1150;842
1358,771,972,1150;944
1358,771,972,1150;731
1358,771,972,1150;446
1323,1155;584
1323,1155;1335
1145,247;25
1145,247;1268
32;4
4;32
1244;1074
876,1271;714
876,1271;38
714,38;876
714,38;1271
937;914
161,1228;274
1003;1245
1245;1003
571,907;700
571,907;622
700,622;571
700,622;907
1346,179,346,1119;699
1346,179,346,1119;348
1346,179,346,1119;5
1174;1227
1227;1174
555,771,886;904
555,771,886;922
555,771,886;644
192,771,1150;922
192,771,1150;842
192,771,1150;6
944,423;972
944,423;231
673,876;38
673,876;655
38,655;673
38,655;876
21;42
42;21
354,1150;842
354,1150;780
572;1240
1240;572
162,1172;1201
162,1172;1122
1201,1122;162
1201,1122;1172
771,886,1275;904
771,886,1275;922
771,886,1275;1042
904,922,1042;771
904,922,1042;886
904,922,1042;1275
1210,731,999;940
1210,731,999;358
754,771,886;904
754,771,886;922
754,771,886;1327
904,922,1327;754
904,922,1327;771
904,922,1327;886
219,876;38
219,876;366
38,366;219
38,366;876
433;62
217,940;192
217,940;169
234,310;1023
1023;234
1023;310
1009,771;731
1009,771;446
1009,771;142
339,731;138
339,731;317
217,731,15;192
217,731,15;940
1059,972;1040
1059,972;563
1040,563;1059
1040,563;972
105,989,1071;913
105,989,1071;125
913,125;105
913,125;989
913,125;1071
360,675,1120;128
360,675,1120;1061
360,675,1120;847
922,684;104
922,684;75
104,75;922
104,75;684
698,731,446;771
698,731,446;915
155,1188,117;1304
155,1188,117;371
771,1293,886;904
771,1293,886;922
771,1293,886;533
904,922,533;771
904,922,533;1293
904,922,533;886
1331,771,886;904
1331,771,886;922
1331,771,886;783
904,922,783;1331
904,922,783;771
904,922,783;886
771,316,886;904
771,316,886;1241
771,316,886;922
904,1241,922;771
904,1241,922;316
904,1241,922;886
792;913
913;792
334;83
83;334
8,261;459
8,261;886
281,261;459
281,261;886
1120,675,310,968;128
1120,675,310,968;589
1120,675,310,968;1188
1120,675,310,968;477
296,869;184
296,869;1356
161,1166;863
944,1139;992
944,1139;972
992,972;944
992,972;1139
981;1007
944,969,289;330
944,969,289;972
944,969,289;486
812;1194
1194;812
1035,699,1155,5;345
1035,699,1155,5;722
1035,699,1155,5;179
1035,699,1155,5;1119
944,1063;947
944,1063;972
161,598,879;1162
161,598,879;779
586,771,886;904
586,771,886;922
586,771,886;384
904,922,384;586
904,922,384;771
904,922,384;886
1112,683;812
1112,683;1150
812,1150;1112
812,1150;683
682;579
579;682
886,771,1110;904
886,771,1110;922
886,771,1110;37
1008,95;57
1008,95;691
1215;1253
1253;1215
779;26
779;1150
298;126
126;298
771,1341,886;904
771,1341,886;922
771,1341,886;490
904,922,490;771
904,922,490;1341
904,922,490;886
21;319
319;21
731,237;138
731,237;903
792,771,1150;842
792,771,1150;731
792,771,1150;446
792,771,1150;662
842,731,446,662;792
842,731,446,662;771
842,731,446,662;1150
1031;11
1031;1188
1031;310
11,1188,310;1031
1008,401,259,731;138
1008,401,259,731;785
1008,401,259,731;691
1008,401,259,731;886
1008,401,259,731;1150
142,1150;1277
142,1150;1045
771,667,886;904
771,667,886;922
771,667,886;855
904,922,855;771
904,922,855;667
904,922,855;886
81,1150;731
81,1150;933
81,1150;982
413;592
592;413
429;904
429;374
399;307
307;399
1104;1150
1104;502
699,5,398;179
699,5,398;1101
699,5,398;1119
1120,675,580,911,310;128
1120,675,580,911,310;1188
1120,675,580,911,310;589
1120,675,580,911,310;1114
1120,675,580,911,310;477
81,737;731
81,737;1262
81,737;1343
731,1262,1343;81
731,1262,1343;737
771,661,886;904
771,661,886;922
771,661,886;821
904,922,821;771
904,922,821;661
904,922,821;886
1347,771,886;904
1347,771,886;922
1347,771,886;987
904,922,987;1347
904,922,987;771
904,922,987;886
848,918;886
848,918;311
481,675;1264
481,675;607
1112,1189;657
1112,1189;367
105,12;937
105,12;125
677;1271
1271;677
1188,877;276
1188,877;1061
664,1150;842
664,1150;671
81,306;731
